gusto, taste
habeo, have
habui, have
habitum, have
habitus, disposed
hac, this
hactenus, hitherto
hereditas, inheritance
hesito, uncertain
hic, here 
hoc, this
hilaris, cheerful
hinc, from
his, these 
hodie,day
hodiernus, of
honor, honor
honorabilis, respectful
hora, hour
hordeum, ordeum
horrendus, horrible
hortor, exhort
hortus ortus, garden
horum, these
hos, these
hospes, guest
hostes, enemy
huic, this
huius, this
humanitas, kindness
humanus, pertaining
humilis, lowly
humo, cover
humus, ground
hypocrita, hypocrite
iaceo, lie
iacio, throw
iaculum, dart
iam, now
iam, moreover
ianua, door
ibi, there
ictus, blow
idcirco, on
idem, the same
eadem, the same
idem, the same
identidem, again
ideo, for
idoneus, proper
igitur, therefore
ignarus, ignorant
ignavus, lazy
ignis, fire
ignoro, be
ignosco, forgive
ignotus, unknown
ilico, on
illa, that
illacrimo, weep
illas, that
illata, from
illaturos, from
ille, that
illud, that
illiam, that
illic, there
illis, those 
illius, that
illo, that
illorum, those
illuc, thither
illud, that
illusi, mock
illusum, mock
illum, that
imago, image
imber, rain
ymber, rain
imbrium, of
imcomposite, adv
imitabilis, that
imitor, imitate
immanitas, savagery
immerito, adv
immineo, hang
immo, by
immodicus, immoderate
immortalis, immortal
immotus, unmoved
immunda, unclean
immundus, foul
impedimentum, hindrance
impedio, entangle
impedito, a
impedo, entangle
impello, drive
impuli, set
impulsum, set
impendeo, hang
impendium, expenditures
impendo, lay
impenetrabiilis, impenetrable
impensa, expense
imperator, commander
imperceptus, unperceived
imperiosus, imperious
imperium, power
impero, give
impetro, get
impetus, attack
impleo, fill
importo, bring
importunus, unsuitable
impraesentiarum, for
imprimis, especially
improbus, inferior
improvidus, improvident
improviso, unexpected
impudens, impudent
impudenter, impudently
impunitus, unpunished
imputo, lay
in, in
inanis, empty
incassum, in
inceptor, beginner
inceptum, beginning
incertus, uncertain
incido, fall
incipio, take
incito, excite
inclino, bend
includo, shut
inclitus, celebrated
incompositus, disorder
inconsulte, indiscreetly
incontinencia, lack
incorruptus, uncorrupted
incredibilis, incredible
increpare, rebuke
incubo, hang
incurro, run
indagatio, investigation
inde, thence
indebitus, not
indico, proclaim
indigeo, require
indignatio, indignation
indignus, unworthy
indo, establish
indomitus, untamed
induco, cover
induco, bring
inductum, lead
inducas, lead
industria, industry
industrius, industrious
indutiae, truce
inedicabilis, unexplainable
ineptio, play
inexpugnabilis, impregnable
infamo, put
infantia, infancy
infector, dyer
infectus, unworked
infecunditas, barrenness
infecundus, barren
infelicitas, bad
infeliciter, unhappily
infelix, unfruitful
infenso, attack
infensus, hostile
inferi, those
inferne, on
infero, carry
inferus, below
infervesco, come
infeste, in
infesto, attack
infestus, aggressive
inficio, poison 
infeci, poison 
infectum, poison
infidelis, unfaithful
infidelitas, faithlessness
infideliter, faithlessly
infidus, untrue
infigo, fix
infissum, cut
infinitio, eternity
infinitus, unlimited
infirmatio, weakening
infirme, weakly
infirmitas, weakness
infirmo, weaken
infirmus, not
infit, he
infitialis, negative
infitias ire, deny
infitior, deny
inflammatio, setting
inflammo, set
inflatio, inflation
inflatius,o
inflatus, pompous
inflatus, blowing
inflecto, warp
inflectum, bend
infletus, unwept
inflexio, a
inflexus, bending
inflictum, strike
inflo, blow
influo, flow
influi, flow
influxum, flow
infodio, dig
infodi, dig 
infossum, dig
informatio, concept
informis, formless
infortunatus, unfortunate
infortunium, misfortune
infra, low
infula, insignia
ingenium, innate
ingens, of
ingero, go
ingratus, ungrateful
ingravesco, become
inicio, throw
inieci, throw 
iniectum, throw
inimicus, personal
iniquus, unequal
initium, beginning
iniuria, injury
iniustus, unjust
innotesco, innotui
innotesco, become
innuo, give
inolesco, grow
inops, poor
inquis, you
inquit, he
inrideo, laugh
irritus, void
inruo , rush
insania, insanity
insciens, unknowing
inscribo, inscribe
insensatus, irrational
insequor, follow
inservio, be
insideo, sit
insinuo, insinuate
insisto, enter
insolita, unaccustomed
insolitus, unaccustomed
insontis, guiltless
insperatus, unexpected
instanter, urgently
instigo, goad
instituo, establish
insto, pursue
instructus, equipped
instruo, built
instruo, prepare
insula, island
insurgo, rise
insurgi, rise
insurrectum, rise
integer, whole
intellego, understand 
intellexi, understand 
intellectum, understand
intempestivus, untimely
intendo, stretch
intendo, extend
intentio, effort
intentus, thorough
inter, between
interceptum, intercept
interdico, forbid
interdum, sometimes
intereo, perish
interfectum, kill
interrogatio, interrogation
intro, walk
introduco, lead
intueor, look
intumesco, swell
intumesco, sell
intus, within
inultus, unavenged
invado, undertake
invado, assail
invalesco, gather
invenio, come
inventor, inventor
investigo, track
inveteratus, hardened
invetero, give
invicem, one
invictus, unconquer
invideo, envy
invidia, envy
inviso, go
invisus, hated
invito, invite
invitus, unwilling
ioco iocor, joke
iocus, joke
ipse, himself
ipsa, himself
ipsum, himself
ipsemet, his
ira, anger
iratus, angry
iratus, angry
irrito, irritate
irritum, nothingness
irritus, vain
irritus, undecided
is ea id, this
iste, that
ista that
istud, that 
ita, so 
iter , road
itineris, road
itero, repeat
iterum, again
iubeo, order
iussi , order
iussum, order
iucunditas, pleasure
iucundus, agreeable
iudex, judge
iudicium, judgment
iudico, judge
iuge, perpetual
iumentum, beast
iungo , join
iunxi , join
iunctum, join
iuro, swear
iuris , oath
iurandi,  oath
ius iuris, justice 
iustus, just
iuvo, help
iuxta, just
iuxta, close
jaculum, dart
judicium, trial
jugis, ceaseless
jugiter, continually
jumentum, draft
juvenis, young
labefacio , shake
labefeci, shake
labefactum, shake
labefacto, weaken
labes labis, stain
labia, lip
labium,lip
labiosus, having
labo, totter
labor, hardship
labor, labor
lapsus, slip
laboriose, laboriously
laboriosus,ilsome
labrum, lip
labrusca, wild
labruscum, the
lactis, milk
lacero, tear
lacerta, lizard
lacertosus, muscular
lacertus, the
lacesso, harass
lacrima Heliandum, amber
lacrima, tears
lacrimabilis, lamentable
lacrimo, weep
lacrimosus, tearful
lactans, giving
lactatio, enticement
lacteus, milky
lacteus, of
lacto, allure
lactuca, lettuce
lacuna, missing
lacunar, panelled
ledo, strike
lesio, rhetorical
letabilis, joyous
laetans, rejoicing
letatio, rejoicing
letifico, fertilize
letificus, gladdening
letitia, fertility
leto, cheer
letor, rejoice
leve, left
levus, foolish
levus, the
lama, bog
lambo, lick
lamenta, weeping
lamentabilis, lamentable
lamentatio, weeping
lamentor, weep
lamia, witch
lammina, sheet
lapsus, fall
laqueum, noose
laqueus, snare
largior, lavish
lascivio, run
lasesco, become
latus, sides
laudator, praiser
laudo, praise
laus, praise
lebes, copper
lectica, litter
lector, reader
lectus, bed
legatarius, legatee
legatus, deputy
legio, legion
lego, gather
lemma, theme
lenimentus, alleviation
lenio, mitigate
lenis, smooth
lenitudo, smoothness
leno, procurer
lenocinium, enticement
lenocinor, pander
lentis, lentil
lente, slowly
lentesco, become
lentitudo, slowness
lento, bend
lentulus, rather
lentus, lethargic
lentus,ugh
leo, lion
lepide, charmingly
lepidus, charming
lepos, charm
lepus, hare
Lesciense, monastery
letalis, mortal
letaliter, mortally
letanie, litany
lethargus, drowsiness
letifer, deadly
leto, kill
letum, death
levamen, alleviation
levamentum, comfort
levatio, alleviation
leviculus, empty
levidensis, thin
levis, rapid
levis, light
levitas, lightness
leviter, lightly
levo, smooth
levo, raise
lex legis, law
libatio, libation
libellus, little
libenter, willingly
liber, child
liber libri, book
liberalis, courteous
liberalitas, courtesy
liberaliter, courteously
liberatio, release
libere, freely
libero, liberate
libero, lift
libero, set
libertas, freedom
libido, whim
licet, granted 
ligo, bind
lima, file
limen, limina
lingua, language
lino, smear
linteum, linen
liquidus, fluid
litigo, quarrel
littera, letter
loci, places
loco, place
locupleto, enrich
locus, place
loginquitas, distance
lateque, far
longe, far
longus, long 
loquacis, talkative
locutus, say
loricatus, wearing
lubricus, oily
lucerna, lamp
lucror, gain
lucrosus, profitable
lucrum, gain
luctisonus, sad
luctus, lamentation
ludius, actor
ludo, play
lusum, play
ludus, game
lues, plague
lugeo, mourn
luna, moon
lupus, wolf
lux , light
lucis, light
luxuria, luxury
macellarius, butcher
macer, thin
macero, soften
macies, thiness
macresco, become
mactabilis, deadly
macto, magnify
macula, stain
maculo, stain
maculosus, spotted
madesco, get
madide, drunkenly
madidus, wet
mador, wetness
maero, grieve
meror, mourning
magis, more
magister, master
magnus, very 
opere, very
magnus, large
maximus, large
magus, magical
maiestas, majesty 
malens, preferring
malo , choose
mallui, choose 
malus, choose
malum, evil
malus, bad
mancipo, sell
mandatum, order
mando, commit
mane, morning
manentia, permanency
maneo, remain
mansuetus, mild
manus, hand
mare, sea
maris, sea
maritus, husband
mater, mother
materia, material
matertera, maternal
matrimonium, marriage
maxime, greatly
maxime, especially
me, me
medicus, doctor
mediocris, ordinary
meditor, reflect
medius, middle
mei, my
mel, honey
melior, better
mellitus, honeyed
membrana, thin
memini, remember
memor, mindful
memoratus, mentioned
memoria, memory 
mendosus, faulty
mens , mind
mentis, mind
mensa, table
mensis, month
merces, pay 
mercedis, pay
mereo, mereor
mereo, deserve
meretricis, prostitute
meridianus, midday
mestitia, misfortune
metuo, fear
metus, fear
meus, my
mica, crumb
minime, in
minimus, least
ministro, serve
ministro, attend
minor, smaller
minuo , less
minui , less
minutum, less
mire, wonderfully
miro, wonder
miror, marvel
mirus, wonderful
misceo, mix
mixtum, mix
miser, wretched
misere, wretchedly
misereo, misereor
misericordia, pity
missa, holy
mitesco, grow
mitigo, make
mitis, mild
mitto, send
missum, send
modestus, orderly
modica, moderate
modicus, ordinary
modo, now
modus, measure
Moguntienses, 
moleste, take
moleste fero, 
molestia, annoyance
molestus, troublesome
molior, build
mollio, soften
mollis, adj
monachus, monk
Monasteriense, 
monasterium, monastery
moneo, warn
monitio, admonition
mons montis, mountain
monstro, show
monstrum, portent
Montensem, 
mora, delay
moratlis, mortal
morbus, sickness
mores, morium
morior, die
mortis, death
morsus, a
mortifera, deadly
mortuus, dead
mos moris, will
moveo , move
moti , move
motum, move
mox, soon
mucro, a
mugio, groan
mulier, woman
multi, many
multo, by
multum, much
multus, ne
multus, much
multus , much
plus , much
plurimum, much
mundo, clean
mundus, world
mundus, clean
munero, give
munimentum, fortification
munio, fortify
munitio, fortifying
munus, service
mus, mouse
mussito, grumble
mutatio, change
muto, change
muto, punish
mutuo, borrowed
mutuus, interchanged
mutuus, a loan 
narro, make
nascor , born
nasci , born
natus, born
natalis , birthday
natalis, birthday
natio, nation
natura, nature
nauta, sailor
navigatio, voyage
navigo, sail
navis , ship
navis, ship
ne, not
necessarius, necessary
necne, or not
neco, kill
nefas, wrong
nego, deny
negotium, employment
nemo, no
neo, spin
nepotis, grandson
nequam, worthless
nequaquam, by no means
neque, neither
nequeo, not
nequities, worthlessness
nescio, be
nichilominus, nevertheless
nidor, vapor
niger, black
nihil, nothing
nihilum, nothing
nisi, unless
niteo, shine
nitesco, begin
nitor, strive
nitor, rest
nitor, brilliance 
niveus, white
no, swim
nobis, us
nocens, bad
nocte, night
nolo, refuse
nolle, refuse
nomen, name
nominatim, by
non, not
nondum, not
nonnisi, not
nonnullus, some
nonnumquam, sometimes
nonus, ninth
nos, we
nos, us
nosco, become
noster , our
nostris, our
nostra , our
nostrum, our
nota, mark
notarius, stenographer
novem, nine
novitas, newness
novo, make
novus, novel
novus, new
nox , night
noctis, night
nullus, not
numerus,number
numquam, never
nunc, now
nunquam, never
nuntio, announce
nuntius, messenger
nuper, newly
nusquam, nowhere
nutrimens, food
nutrimentus, nourishment
nutrio, suckle
nutus, command
obdormio, fall
obduro, be
obicio, offer
obiectum, offer
obligatus, bound
obliquo, turn
