0:4:45  0:0:0  0  Mash-tun  143.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:48  0:0:0  0  Mash-tun  143.4 F, Target: 145.0 F, Pump on, status 3   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:51  0:0:0  0  Mash-tun  143.5 F, Target: 145.0 F, Pump on, status 3   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:54  0:0:0  0  Mash-tun  143.5 F, Target: 145.0 F, Pump on, status 3   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:4:57  0:0:0  0  Mash-tun  143.5 F, Target: 145.0 F, Pump on, status 3   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:5:0  0:0:0  0  Mash-tun  143.6 F, Target: 145.0 F, Pump on, status 3   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:5:3  0:0:0  0  Mash-tun  143.6 F, Target: 145.0 F, Pump on, status 3   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:5:6  0:0:0  0  Mash-tun  143.7 F, Target: 145.0 F, Pump on, status 3   HLT  154.1 F, Target: 155.0 F, Heat on, status 1 mix 0

Cycling - turning off the burner.

0:5:9  0:0:0  0  Mash-tun  143.7 F, Target: 145.0 F, Pump on, status 3   HLT  154.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:12  0:0:0  0  Mash-tun  143.7 F, Target: 145.0 F, Pump on, status 3   HLT  154.2 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:15  0:0:0  0  Mash-tun  143.7 F, Target: 145.0 F, Pump on, status 3   HLT  154.3 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:18  0:0:0  0  Mash-tun  143.8 F, Target: 145.0 F, Pump on, status 3   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

Low temp - turning on the pump.

0:5:21  0:0:0  0  Mash-tun  143.8 F, Target: 145.0 F, Pump on, status 1   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:24  0:0:0  0  Mash-tun  143.8 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 1

0:5:27  0:0:0  0  Mash-tun  143.8 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:30  0:0:0  0  Mash-tun  143.9 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:33  0:0:0  0  Mash-tun  143.9 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:36  0:0:0  0  Mash-tun  143.9 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:39  0:0:0  0  Mash-tun  143.9 F, Target: 145.0 F, Pump on, status 1   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:42  0:0:0  0  Mash-tun  143.9 F, Target: 145.0 F, Pump on, status 1   HLT  154.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:45  0:0:0  0  Mash-tun  144.0 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

Mash-Tun target temperature reached!

0:5:48  0:0:3  1  Mash-tun  144.0 F, Target: 145.0 F, Pump on, status 1   HLT  154.5 F, Target: 155.0 F, Heat off, status -1 mix 0

Cycling - turning off the pump.

0:5:51  0:0:6  1  Mash-tun  144.0 F, Target: 145.0 F, Pump off, status -1   HLT  154.6 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:54  0:0:9  1  Mash-tun  144.2 F, Target: 145.0 F, Pump off, status -1   HLT  154.6 F, Target: 155.0 F, Heat off, status -1 mix 0

0:5:57  0:0:12  1  Mash-tun  144.2 F, Target: 145.0 F, Pump off, status -1   HLT  154.6 F, Target: 155.0 F, Heat off, status -1 mix 0

0:6:0  0:0:15  1  Mash-tun  144.2 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status -1 mix 0

0:6:3  0:0:18  1  Mash-tun  144.2 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status -1 mix 0

0:6:6  0:0:21  1  Mash-tun  144.3 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status -1 mix 0

0:6:9  0:0:24  1  Mash-tun  144.3 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:12  0:0:27  1  Mash-tun  144.3 F, Target: 145.0 F, Pump off, status -1   HLT  154.9 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:15  0:0:30  1  Mash-tun  144.4 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:18  0:0:33  1  Mash-tun  144.4 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:21  0:0:36  1  Mash-tun  144.4 F, Target: 145.0 F, Pump off, status -1   HLT  154.7 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:24  0:0:39  1  Mash-tun  144.4 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:27  0:0:42  1  Mash-tun  144.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:30  0:0:45  1  Mash-tun  144.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:33  0:0:48  1  Mash-tun  144.5 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:36  0:0:51  1  Mash-tun  144.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:39  0:0:54  1  Mash-tun  144.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.6 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:42  0:0:57  1  Mash-tun  144.6 F, Target: 145.0 F, Pump off, status 0   HLT  154.5 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:45  0:1:0  1  Mash-tun  144.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.4 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:48  0:1:3  1  Mash-tun  144.7 F, Target: 145.0 F, Pump off, status 0   HLT  154.3 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:51  0:1:6  1  Mash-tun  144.8 F, Target: 145.0 F, Pump off, status 0   HLT  154.3 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:54  0:1:9  1  Mash-tun  144.8 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat off, status 0 mix 0

0:6:57  0:1:12  1  Mash-tun  145.0 F, Target: 145.0 F, Pump off, status 0   HLT  154.2 F, Target: 155.0 F, Heat off, status 0 mix 0

0:7:0  0:1:15  1  Mash-tun  145.0 F, Target: 145.0 F, Pump off, status 0   HLT  154.1 F, Target: 155.0 F, Heat off, status 0 mix 0

Low temp - turning on the burner.

0:7:3  0:1:18  1  Mash-tun  145.1 F, Target: 145.0 F, Pump off, status 0   HLT  154.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:6  0:1:21  1  Mash-tun  145.1 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:7:9  0:1:24  1  Mash-tun  145.2 F, Target: 145.0 F, Pump off, status 0   HLT  153.8 F, Target: 155.0 F, Heat on, status 1 mix 0

